SISTEMA,CIA,PRODUCTO,PRODUCTO_CIA,TARIFA,FEE,P1,P2,P3,P4,P5,P6,P1.,P2.,P3.,P4.,P5.,P6.
PENINSULA,AEQ,FIJO,SIMETRIA,2.0TD,3,0.092145,0.022172,0,0,0,0,0.265522,0.21194,0.175676,0,0,0
PENINSULA,AEQ,FIJO,ARMONIA,2.0TD,6,0.071803,0.005528,0,0,0,0,0.268522,0.21494,0.178676,0,0,0
PENINSULA,AEQ,FIJO,EQUILIBRIO,2.0TD,6,0.081597,0.013542,0,0,0,0,0.268522,0.21494,0.178676,0,0,0
PENINSULA,AEQ,FIJO,SIMETRIA,2.0TD,6,0.092145,0.022172,0,0,0,0,0.268522,0.21494,0.178676,0,0,0
PENINSULA,AEQ,FIJO,ARMONIA,2.0TD,8,0.071803,0.005528,0,0,0,0,0.270522,0.216904,0.180676,0,0,0
PENINSULA,AEQ,FIJO,EQUILIBRIO,2.0TD,8,0.081597,0.013542,0,0,0,0,0.270522,0.216904,0.180676,0,0,0
PENINSULA,AEQ,FIJO,SIMETRIA,2.0TD,8,0.092145,0.022172,0,0,0,0,0.270522,0.216904,0.180676,0,0,0
PENINSULA,AEQ,FIJO,ARMONIA,2.0TD,10,0.071803,0.005528,0,0,0,0,0.272522,0.21894,0.182676,0,0,0
PENINSULA,AEQ,FIJO,EQUILIBRIO,2.0TD,10,0.081597,0.013542,0,0,0,0,0.272522,0.21894,0.182676,0,0,0
PENINSULA,AEQ,FIJO,SIMETRIA,2.0TD,10,0.092145,0.022172,0,0,0,0,0.272522,0.21894,0.182676,0,0,0
PENINSULA,AEQ,FIJO,ARMONIA,2.0TD,15,0.071803,0.005528,0,0,0,0,0.277522,0.22394,0.187676,0,0,0
PENINSULA,AEQ,FIJO,EQUILIBRIO,2.0TD,15,0.081597,0.013542,0,0,0,0,0.277522,0.22394,0.187676,0,0,0
PENINSULA,AEQ,FIJO,SIMETRIA,2.0TD,15,0.092145,0.022172,0,0,0,0,0.277522,0.22394,0.187676,0,0,0
PENINSULA,AEQ,FIJO,ARMONIA,2.0TD,20,0.071803,0.005528,0,0,0,0,0.282522,0.22894,0.192676,0,0,0
PENINSULA,AEQ,FIJO,EQUILIBRIO,2.0TD,20,0.081597,0.013542,0,0,0,0,0.282522,0.22894,0.192676,0,0,0
PENINSULA,AEQ,FIJO,SIMETRIA,2.0TD,20,0.092145,0.022172,0,0,0,0,0.282522,0.22894,0.192676,0,0,0
PENINSULA,AEQ,FIJO,ARMONIA,2.0TD,25,0.071803,0.005528,0,0,0,0,0.287522,0.23394,0.197476,0,0,0
PENINSULA,AEQ,FIJO,EQUILIBRIO,2.0TD,25,0.081597,0.013542,0,0,0,0,0.287522,0.23394,0.197476,0,0,0
PENINSULA,AEQ,FIJO,SIMETRIA,2.0TD,25,0.092145,0.022172,0,0,0,0,0.287522,0.23394,0.197476,0,0,0
PENINSULA,AEQ,FIJO,ARMONIA,2.0TD,30,0.071803,0.005528,0,0,0,0,0.292522,0.23894,0.202676,0,0,0
PENINSULA,AEQ,FIJO,EQUILIBRIO,2.0TD,30,0.081597,0.013542,0,0,0,0,0.292522,0.23894,0.202676,0,0,0
PENINSULA,AEQ,FIJO,SIMETRIA,2.0TD,30,0.092145,0.022172,0,0,0,0,0.292522,0.23894,0.202676,0,0,0
PENINSULA,AEQ,FIJO,ARMONIA,3.0TD,3,0.038308,0.0326,0.0109654,0.010011,0.007487,0.005483,0.256565,0.235767,0.207862,0.189579,0.170251,0.167743
PENINSULA,AEQ,FIJO,EQUILIBRIO,3.0TD,3,0.038308,0.0326,0.021238,0.020285,0.017761,0.015757,0.256565,0.235767,0.207862,0.189579,0.170251,0.167743
PENINSULA,AEQ,FIJO,SIMETRIA,3.0TD,3,0.038308,0.0326,0.035622,0.034668,0.032144,0.03014,0.256565,0.235767,0.207862,0.189579,0.170251,0.167743
