SISTEMA,CIA,PRODUCTO,PRODUCTO_CIA,TARIFA,P1,P2,P3,P4,P5,P6
PENINSULA,FACTOR,FIJO,NEGOCIO_AHORRO,2.0TD,0.0695426164383561,0.0036786657534246,0.0,0.0,0.0,0.0
PENINSULA,FACTOR,FIJO,NEGOCIO_AHORRO1P,2.0TD,0.0695426164383561,0.0036786657534246,0.0,0.0,0.0,0.0
PENINSULA,FACTOR,FIJO,NEGOCIO_EXTRA,2.0TD,0.089024605479452,0.0269723890410958,0.0,0.0,0.0,0.0
PENINSULA,FACTOR,FIJO,NEGOCIO_EXTRA1P,2.0TD,0.089024605479452,0.0269723890410958,0.0,0.0,0.0,0.0
PENINSULA,FACTOR,FIJO,NEGOCIO_EXTRAPLUS,2.0TD,0.0959119232876712,0.0272751306301369,0.0,0.0,0.0,0.0
PENINSULA,FACTOR,FIJO,NEGOCIO_EXTRAPLUS1P,2.0TD,0.0959119232876712,0.0272751306301369,0.0,0.0,0.0,0.0
PENINSULA,FACTOR,FIJO,NEGOCIO_EXTRATOP,2.0TD,0.0972437835616438,0.0351915671232876,0.0,0.0,0.0,0.0
PENINSULA,FACTOR,FIJO,NEGOCIO_EXTRATOP1P,2.0TD,0.0972437835616438,0.0351915671232876,0.0,0.0,0.0,0.0
PENINSULA,FACTOR,FIJO,NEGOCIO_MINI1P,2.0TD,0.0712602739726027,0.0712602739726027,0.0,0.0,0.0,0.0
PENINSULA,FACTOR,FIJO,NEGOCIO_PROFESIONAL,2.0TD,0.0854103863013698,0.0231346712328767,0.0,0.0,0.0,0.0
PENINSULA,FACTOR,FIJO,NEGOCIO_PROFESIONAL1P,2.0TD,0.0854103863013698,0.0231346712328767,0.0,0.0,0.0,0.0
BALEARES,FACTOR,INDEXADO,DOMESTICO_POOLDBOE,2.0TD,0.0695426164383561,0.0036786657534246,0.0,0.0,0.0,0.0
BALEARES,FACTOR,INDEXADO,DOMESTICO_POOLDEXTRA,2.0TD,0.0882406904109588,0.0219471917808219,0.0,0.0,0.0,0.0
BALEARES,FACTOR,INDEXADO,NEGOCIO_POOLNAHORRO,2.0TD,0.0695426164383561,0.0036786657534246,0.0,0.0,0.0,0.0
BALEARES,FACTOR,INDEXADO,NEGOCIO_POOLNEXTRA,2.0TD,0.0808054273972602,0.0214929369863013,0.0,0.0,0.0,0.0
BALEARES,FACTOR,INDEXADO,NEGOCIO_POOLNPLUS,2.0TD,0.0835451534246575,0.0242326630136986,0.0,0.0,0.0,0.0
BALEARES,FACTOR,INDEXADO,NEGOCIO_POOLNPROF,2.0TD,0.078065701369863,0.0187532109589041,0.0,0.0,0.0,0.0
CANARIAS,FACTOR,INDEXADO,NEGOCIO_POOLSUMMER,2.0TD,0.0767397260273972,0.0767397260273972,0.0,0.0,0.0,0.0
PENINSULA,FACTOR,INDEXADO,DOMESTICO_POOLDBOE,2.0TD,0.0695426164383561,0.0036786657534246,0.0,0.0,0.0,0.0
PENINSULA,FACTOR,INDEXADO,DOMESTICO_POOLDEXTRA,2.0TD,0.0882406904109588,0.0219471917808219,0.0,0.0,0.0,0.0
PENINSULA,FACTOR,INDEXADO,NEGOCIO_POOLNAHORRO,2.0TD,0.0695426164383561,0.0036786657534246,0.0,0.0,0.0,0.0
PENINSULA,FACTOR,INDEXADO,NEGOCIO_POOLNEXTRA,2.0TD,0.0808054273972602,0.0214929369863013,0.0,0.0,0.0,0.0
PENINSULA,FACTOR,INDEXADO,NEGOCIO_POOLNPLUS,2.0TD,0.0835451534246575,0.0242326630136986,0.0,0.0,0.0,0.0
PENINSULA,FACTOR,INDEXADO,NEGOCIO_POOLNPROF,2.0TD,0.078065701369863,0.0187532109589041,0.0,0.0,0.0,0.0
PENINSULA,FACTOR,INDEXADO,NEGOCIO_POOLSUMMER,2.0TD,0.0767397260273972,0.0767397260273972,0.0,0.0,0.0,0.0
